threshold,precision,recall
0.9999070167541504,0.0,0.0
0.9967713712447852,0.8798161303801533,0.14318163270857379
0.9917994258391798,0.8079631164380613,0.26298930932237374
0.9859501473867716,0.7171835825053061,0.3501604961780068
0.9788067936897278,0.6240580557992902,0.4062548171522264
0.9702108496397583,0.5545610296268284,0.45126628764178406
0.9601219278484133,0.4989530132788444,0.4872215119283913
0.9493153206068068,0.45426452533363737,0.5175140320810887
0.9380141963910817,0.4181364543323986,0.5444062094792365
0.9270901425399973,0.3863023281368191,0.5658283688328989
0.9153887599556887,0.3593256176429161,0.5847932138226067
0.9037225716677143,0.3367070815790264,0.602781026994174
0.8919229612278579,0.31786878757171555,0.6207892422222686
0.8800405725162832,0.3013665312349964,0.6376073374862709
0.8677801447897102,0.28834599370214764,0.6569870242920337
0.8548331242709903,0.27594163978389524,0.6736328355231388
0.8417578678035256,0.26467605300293756,0.6892064053389758
0.8281140426295486,0.25429644772364873,0.7035649193438539
0.8141292420463948,0.24469889605796705,0.7168353236672761
0.8001381266656233,0.23584549484594103,0.7292828450440972
0.7860970497131348,0.22779594724848434,0.7414651396860635
0.771637267802828,0.22071451217716337,0.7543365704596185
0.7569562939543211,0.21463913726984746,0.7685046652702417
0.7417261678369802,0.2089115842358839,0.7819972253202946
0.7260582656716583,0.20316394830755113,0.7935470562099146
0.7102921515253919,0.1976243976445656,0.8040722504828304
0.6942207082432119,0.1923178917221089,0.8137813624946544
0.6782465322532846,0.18720810559142295,0.8226267874468226
0.6619172539543268,0.18223021475368154,0.8304113054595714
0.6451288069312897,0.17754105061327877,0.8379373974229746
0.6280149799495486,0.17311017385119032,0.8451982626515228
0.6110634618069057,0.16877187622158543,0.8514843629571001
0.5942807874487872,0.1646077297516341,0.8572649456398344
0.5775041044057914,0.16071790360868016,0.863163406871393
0.5608564615249634,0.1570188548149744,0.8688510468521696
0.5441312110004715,0.15348130861577758,0.8742553249367337
0.5273107463990023,0.1500679420372391,0.8792356936245641
0.5105950125497788,0.14678417632622767,0.8838850956176182
0.49413782358169556,0.14364213579869903,0.8883418115212478
