model,threshold,IoU,Precision,Recall,F1,Accuracy
new,0.95,0.31966477228821266,0.4567395904011985,0.5157707896955896,0.4844635936548115,0.9661064497921439
old,0.95,0.40264235942723775,0.5760840290869785,0.572168874622549,0.5741197721778275,0.9737897400462293
old,0.5,0.23405155265722985,0.24461813435664104,0.8441962949865155,0.379322160413243,0.914697139634998
new,0.97,0.3312222589381584,0.5532230598128303,0.4521753126048336,0.49762127010693746,0.9718095971903663
old,0.9500000000000001,0.40264235942723775,0.5760840290869785,0.572168874622549,0.5741197721778275,0.9737897400462293
