sample_idx,gt_pos_frac,prob_mean,prob_p99
0.0,0.044158936,0.07751141,0.8977941
1.0,0.0036010742,0.049706433,0.93246365
2.0,0.3139038,0.30177677,0.9849073
3.0,0.000869751,0.2982855,0.9833393
4.0,0.00039672852,0.108604796,0.69863003
5.0,0.0048980713,0.12837435,0.6943018
6.0,0.000289917,0.48020557,0.9347078
7.0,0.00033569336,0.12691668,0.6507812
8.0,0.00064086914,0.04351804,0.5799879
9.0,0.006011963,0.32340544,0.8986039
10.0,0.13677979,0.808524,0.99291164
11.0,0.00491333,0.14341208,0.81451726
12.0,0.00045776367,0.16401145,0.89622223
13.0,0.0071411133,0.49398392,0.9887516
14.0,0.002243042,0.29727912,0.8931033
15.0,0.0018157959,0.033042457,0.4912283
16.0,0.010375977,0.28068691,0.99804664
17.0,0.00021362305,0.447205,0.9597577
18.0,0.042419434,0.068306655,0.9003956
19.0,0.25759888,0.8095225,0.991791
20.0,0.0037841797,0.5617591,0.9842362
21.0,0.00077819824,0.16178198,0.62667936
22.0,0.00016784668,0.119993225,0.47186327
23.0,0.00091552734,0.117268406,0.9763426
24.0,0.0017547607,0.34241873,0.9274287
25.0,0.0010070801,0.30052966,0.9395589
26.0,0.0002593994,0.0662603,0.7975426
27.0,0.003112793,0.15094501,0.758545
28.0,0.00044250488,0.10884283,0.69077706
29.0,0.00064086914,0.116435304,0.84050184
30.0,0.0001373291,0.04700198,0.6402693
31.0,0.00077819824,0.21658276,0.94155943
32.0,0.009277344,0.07825273,0.39795956
33.0,0.002746582,0.04194958,0.56242275
34.0,0.0002746582,0.16405833,0.6968244
35.0,0.018188477,0.28677854,0.9380302
36.0,0.00064086914,0.08879327,0.46347162
37.0,0.00062561035,0.19906023,0.74942744
38.0,0.062469482,0.26927128,0.9987648
39.0,0.0036621094,0.12483126,0.81587553
40.0,0.0018310547,0.116448425,0.62180936
41.0,9.1552734e-05,0.025390346,0.42751786
42.0,0.0025787354,0.4271601,0.95637834
43.0,0.00018310547,0.23113534,0.8139058
44.0,0.00019836426,0.02412654,0.4592306
45.0,0.0027160645,0.14577517,0.6262157
46.0,0.00039672852,0.025276387,0.5149927
47.0,0.00030517578,0.11464547,0.5191675
48.0,0.009262085,0.16623195,0.78251684
49.0,0.0018157959,0.018425453,0.2470725
50.0,0.005783081,0.027247608,0.551039
51.0,0.0013427734,0.07461622,0.5843964
52.0,0.0074768066,0.11642961,0.50818807
53.0,0.003967285,0.0932026,0.60055125
54.0,0.00093078613,0.03175071,0.40775186
55.0,0.00044250488,0.039530728,0.36617813
56.0,0.0013122559,0.15633957,0.79580265
57.0,0.00019836426,0.043070603,0.5035028
58.0,0.00088500977,0.12845726,0.6250425
59.0,0.0010223389,0.059310116,0.6203069
60.0,0.0013122559,0.05225206,0.8761064
61.0,0.038208008,0.029463511,0.5471423
62.0,0.00032043457,0.01225601,0.12081998
63.0,0.0443573,0.2092715,0.98558724
64.0,0.010803223,0.48919326,0.9995759
65.0,0.0005950928,0.73608595,0.98936987
66.0,0.010284424,0.032719675,0.6424855
67.0,0.0010681152,0.11433141,0.46933168
68.0,0.23513794,0.6308371,0.9972959
69.0,0.016021729,0.77140164,0.98988783
70.0,0.01083374,0.2864688,0.92553806
71.0,0.0009613037,0.716773,0.99321413
72.0,0.07873535,0.5056113,0.9879035
73.0,0.0024108887,0.050888114,0.7146735
74.0,0.00012207031,0.24759191,0.9391608
75.0,0.00044250488,0.09056415,0.42776287
76.0,0.000869751,0.035922512,0.6005291
77.0,0.00015258789,0.025193822,0.5809885
78.0,0.003036499,0.012878195,0.2801809
79.0,0.00010681152,0.6857841,0.9957244
80.0,0.01109314,0.09687196,0.46968013
81.0,0.18130493,0.79905397,0.99078697
82.0,0.06713867,0.8243835,0.9928402
83.0,0.0036010742,0.14832217,0.8298475
84.0,0.0013275146,0.073041886,0.91654116
85.0,0.0018615723,0.04582559,0.8413633
86.0,0.31915283,0.37582284,0.9651125
87.0,0.0008087158,0.079457216,0.9354602
88.0,0.26138306,0.5063809,0.9994293
89.0,0.0016326904,0.118287936,0.69169796
90.0,0.48072815,0.23472911,0.7488308
91.0,0.00091552734,0.023967622,0.49355382
92.0,0.0075683594,0.68609947,0.9946315
93.0,0.00091552734,0.038493372,0.68996614
94.0,0.0001373291,0.06653535,0.8261117
95.0,0.0018157959,0.41935775,0.97153956
96.0,0.000289917,0.032196436,0.4547525
97.0,0.00065612793,0.18141958,0.6828975
98.0,0.006210327,0.10706237,0.6210429
99.0,0.00022888184,0.01906139,0.3481524
100.0,0.0002746582,0.02706339,0.2739078
101.0,0.011886597,0.12269916,0.9518022
102.0,0.010971069,0.07301934,0.91494185
103.0,0.00039672852,0.042566232,0.61835206
104.0,0.887619,0.81219065,0.9783477
105.0,0.00018310547,0.056404177,0.73723394
106.0,0.00022888184,0.086683735,0.4226069
107.0,0.0031585693,0.13623871,0.9443117
108.0,0.00061035156,0.022239914,0.4658942
109.0,0.0012359619,0.03620825,0.48963255
110.0,0.0019836426,0.037260804,0.61302376
111.0,0.062194824,0.7819514,0.98891145
112.0,0.007080078,0.043188255,0.70856446
113.0,0.0006866455,0.48640686,0.9866566
114.0,0.00064086914,0.12678958,0.9247654
115.0,0.0004119873,0.22985289,0.9178555
116.0,0.02696228,0.6914054,0.9904538
117.0,0.00050354004,0.14323881,0.6142334
118.0,0.00022888184,0.09407118,0.55734086
119.0,0.0034332275,0.03659244,0.6046853
120.0,0.09887695,0.20583515,0.90165997
121.0,0.0002746582,0.01513932,0.32927474
122.0,0.00015258789,0.01814522,0.2885871
123.0,0.00010681152,0.14260511,0.9708294
124.0,0.0008239746,0.10577962,0.9700274
125.0,0.19258118,0.780489,0.98647463
126.0,0.0005340576,0.118063346,0.7389496
127.0,0.043258667,0.12507333,0.9923601
128.0,0.0001373291,0.031889822,0.5868202
129.0,0.00035095215,0.021815717,0.41922784
130.0,0.00016784668,0.13110691,0.7404586
131.0,0.00390625,0.7160936,0.98914623
132.0,0.00061035156,0.35574168,0.9206551
133.0,0.00062561035,0.012598645,0.21493122
134.0,0.00018310547,0.052378517,0.79197246
135.0,0.00044250488,0.12948364,0.9909434
136.0,0.010635376,0.25847542,0.98011315
137.0,0.00022888184,0.08847674,0.62755525
