threshold,precision,recall
0.9998770952224731,0.0,0.0
0.9994980096817017,0.7302237454372189,0.11881704342464118
0.9966205358505249,0.6959570985826725,0.2265285674129234
0.9898428320884705,0.7295604492545359,0.35620177180525653
0.9804628012168348,0.6831840040672109,0.44474669713372766
0.9674977654188721,0.6275914710585229,0.5106952114106319
0.9516962766647339,0.5808677241798643,0.567208907991246
0.9344392418861389,0.5336791688803617,0.6079835514086349
0.9154310693692922,0.49226250378690734,0.6409170044340324
0.8939292658513516,0.45642965368132155,0.6685459227623326
0.8713287103116212,0.4245346355922229,0.6909201780872688
0.8454372882843018,0.39771439425115834,0.7119977693751368
0.8171188549779766,0.3752476730054662,0.7328486711460349
0.7879362028447827,0.35543312418569184,0.7519971346444885
0.756940484046936,0.3367790795778314,0.7673394811530161
0.7228460845036725,0.320234599748534,0.7817614682226458
0.684738278388977,0.3056130848069646,0.7958048837989355
0.6456749538081374,0.29231657906487757,0.80875565590343
0.6092227361909117,0.2793477873955892,0.8183378217857508
0.5750758800674323,0.26739590534510105,0.8268432124624642
0.5408330499826365,0.2566231899399925,0.8352964645502744
0.5068197187466839,0.24660698911822013,0.8428293571991865
0.4751616683437595,0.23717038388655148,0.8491766636743457
0.4449992046583846,0.2284265680904807,0.8550456552686984
0.4136103617785568,0.22038992778448624,0.860830771741772
0.3839031300652565,0.21284065184967157,0.8659834244624995
0.35678095763652173,0.2057875608585328,0.8707779077464144
0.33272317111791694,0.19910989224712639,0.874926325906965
0.31027580340903027,0.1928878077414788,0.8789772675752183
0.2898268111087571,0.18700549422839358,0.8826065667419075
0.26980855431988,0.18150604792654376,0.8861905280052028
0.25008696542313347,0.1763069568069583,0.8895001949529644
0.23147669434547424,0.1714268676258447,0.8927781253683502
0.21389872090301332,0.16686138978277612,0.8961580660663725
0.19753591199616105,0.16263131567832217,0.8999075106770559
0.18288300459708412,0.15857570275258798,0.9032738500040599
0.16846082917409916,0.15473063845395438,0.9065540473146154
0.15494292143301738,0.15107841627737867,0.9097435688183829
0.14302279594256054,0.14759825551602465,0.912808411087817
0.13226393052381488,0.144285492341786,0.9158029796069903
0.12240441259577053,0.14114249638458176,0.9188247508682
0.11358731445954674,0.138144372625718,0.9217898497501672
0.1056582955035132,0.1351908507071396,0.9240839476619034
0.09804161634277472,0.13233097125205814,0.92607201472573
0.09032199337105051,0.12961216575005002,0.9281394231204961
0.08332452417618066,0.12698506049007993,0.9299937433693105
0.07696450351919963,0.12445041435426829,0.9316848471659065
0.07112134483890911,0.1220114744444813,0.9332830082605448
0.06587981032067212,0.11966283950954008,0.9347927604435649
0.06111047269037023,0.11740694005771078,0.9362775767797181
0.05683356467353638,0.11523849055342257,0.9377397241641745
0.052995801870547345,0.1131443956417311,0.9391134626370125
0.04957926956627837,0.11112899842951696,0.9404713328436626
