Setting,Best_thr,IoU_best,F1_best,Precision_best,Recall_best
FULL,0.95,0.3635434962325339,0.5332334374807269,0.5450929655057054,0.5218789833095374
NO_LANDSAT,0.5,0.17069393707495065,0.2916115466775593,0.19629795677766712,0.566847676244568
NO_OTHER,0.5,0.28265172170048525,0.44073026843837915,0.6419954128439876,0.33553901295835437
NO_ERA5,0.95,0.20394842687434883,0.33879927005059396,0.264522093057167,0.4710764275981479
NO_IGNITION,0.95,0.3635434962325339,0.5332334374807269,0.5450929655057054,0.5218789833095374
SENTINEL_ONLY,0.5,0.0034508585971474164,0.006877981820061606,0.15641663704202557,0.003516300851504077
