thr,IoU,Precision,Recall,F1
0.5,0.17069393707495065,0.19629795677766712,0.566847676244568,0.2916115466775593
0.75,0.13590565362881885,0.17376961467478325,0.38412789745186526,0.23929038606087372
0.9,0.10219292717577025,0.14337359655422777,0.26242393002560255,0.18543563860331097
0.95,0.08092050127340009,0.12026121618183068,0.1983113764319856,0.14972516228154203
