thr,IoU,Precision,Recall,F1
0.5,0.0034508585971474164,0.15641663704202557,0.003516300851504077,0.006877981820061606
0.75,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
