file_path,percentuale_nodata,supera_soglia
piedmont_new/fire_5200/fire_5200_2016-08-20_pre_sentinel_1.tif,100.00%,YES
piedmont_new/fire_5200/fire_5200_2016-08-16_pre_landsat_1.tif,12.35%,NO
piedmont_new/fire_5200/fire_5200_2016-08-16_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_7028/fire_7028_2023-09-06_pre_landsat_2.tif,0.00%,NO
piedmont_new/fire_7028/fire_7028_2023-09-10_pre_landsat_1.tif,28.33%,YES
piedmont_new/fire_7028/fire_7028_2023-09-05_pre_landsat_3.tif,99.99%,YES
piedmont_new/fire_7028/fire_7028_2023-09-08_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6495/fire_6495_2021-05-26_pre_landsat_2.tif,14.55%,NO
piedmont_new/fire_6495/fire_6495_2021-05-26_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6495/fire_6495_2021-05-27_pre_landsat_1.tif,64.14%,YES
piedmont_new/fire_6495/fire_6495_2021-05-24_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6495/fire_6495_2021-05-29_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-19_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-22_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-19_pre_landsat_3.tif,56.13%,YES
piedmont_new/fire_6346/fire_6346_2020-08-24_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-22_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-20_pre_landsat_2.tif,74.30%,YES
piedmont_new/fire_6346/fire_6346_2020-08-20_pre_landsat_1.tif,78.79%,YES
piedmont_new/fire_6261/fire_6261_2020-02-18_pre_landsat_1.tif,28.86%,YES
piedmont_new/fire_6261/fire_6261_2020-02-19_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6261/fire_6261_2020-02-16_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6261/fire_6261_2020-02-17_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_6261/fire_6261_2020-02-14_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5318/fire_5318_2017-04-07_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_5318/fire_5318_2017-04-05_pre_landsat_3.tif,100.00%,YES
piedmont_new/fire_5318/fire_5318_2017-04-06_pre_landsat_2.tif,0.89%,NO
piedmont_new/fire_5318/fire_5318_2017-04-10_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5318/fire_5318_2017-04-06_pre_landsat_1.tif,1.20%,NO
piedmont_new/fire_6371/fire_6371_2021-03-22_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6371/fire_6371_2021-03-23_pre_landsat_2.tif,4.92%,NO
piedmont_new/fire_6371/fire_6371_2021-03-23_pre_landsat_1.tif,5.67%,NO
piedmont_new/fire_6371/fire_6371_2021-03-20_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6371/fire_6371_2021-03-17_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_7042/fire_7042_2023-11-20_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_7042/fire_7042_2023-11-22_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_7042/fire_7042_2023-11-25_pre_landsat_1.tif,4.00%,NO
piedmont_new/fire_7042/fire_7042_2023-11-25_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_7042/fire_7042_2023-11-24_pre_landsat_2.tif,3.61%,NO
piedmont_new/fire_5509/fire_5509_2017-11-28_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5509/fire_5509_2017-12-03_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5509/fire_5509_2017-12-01_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_5509/fire_5509_2017-12-02_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_5509/fire_5509_2017-12-01_pre_landsat_2.tif,98.87%,YES
piedmont_new/fire_6751/fire_6751_2022-04-20_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6751/fire_6751_2022-04-19_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6751/fire_6751_2022-04-16_pre_sentinel_2.tif,0.05%,NO
piedmont_new/fire_6751/fire_6751_2022-04-14_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6751/fire_6751_2022-04-19_pre_landsat_2.tif,38.16%,YES
piedmont_new/fire_6417/fire_6417_2021-03-12_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6417/fire_6417_2021-03-07_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6417/fire_6417_2021-03-08_pre_landsat_1.tif,19.29%,NO
piedmont_new/fire_6417/fire_6417_2021-03-10_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6417/fire_6417_2021-03-07_pre_landsat_2.tif,36.43%,YES
piedmont_new/fire_6412/fire_6412_2021-03-31_pre_landsat_2.tif,99.93%,YES
piedmont_new/fire_6412/fire_6412_2021-04-01_pre_landsat_1.tif,0.49%,NO
piedmont_new/fire_6412/fire_6412_2021-03-27_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6412/fire_6412_2021-03-30_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6412/fire_6412_2021-04-01_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6927/fire_6927_2023-03-10_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6927/fire_6927_2023-03-07_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6927/fire_6927_2023-03-05_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5451/fire_5451_2017-10-19_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_5451/fire_5451_2017-10-22_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5451/fire_5451_2017-10-17_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5451/fire_5451_2017-10-23_pre_landsat_1.tif,41.30%,YES
piedmont_new/fire_5451/fire_5451_2017-10-22_pre_landsat_2.tif,3.24%,NO
