threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.0,0.030876789617975898,0.030876789617975898,0.9999999999999774,0.05990393736558676,0.030876789617975898,441132,0,13845716,0
0.01,0.0404287649362956,0.0404287649362956,0.9999999999999774,0.07771558401731245,0.2671435994839448,441132,3375508,10470208,0
0.02,0.0455203777266744,0.04552043409520961,0.9999727972579409,0.08707697766781998,0.3525874286616612,441120,4596243,9249473,12
0.03,0.04999151721234726,0.049993297451829496,0.9992881949166916,0.09522270592934964,0.4136538724286838,440818,5468992,8376724,314
0.04,0.05443851894211839,0.05444233325309261,0.9987146704387576,0.10325593659045516,0.46437968682805303,440565,6193957,7651759,567
0.05,0.05864811212672851,0.058655849753005196,0.9977557737819746,0.11079812243512385,0.50551360244051,440142,6782054,7063662,990
0.06,0.06250644210535884,0.06251954366753879,0.9966585965198399,0.11765847064674947,0.5384464788874351,439658,7253045,6592671,1474
0.07,0.06607908431789637,0.0660997367488436,0.9952939256276807,0.12396656996156391,0.5656602492026229,439056,7642446,6203270,2076
0.08,0.0693500171283077,0.06938347306026518,0.9930950373130719,0.12970498969425326,0.5885067161070093,438086,7969820,5875896,3046
0.09,0.07226496785264884,0.07231862335102715,0.9898375089542134,0.1347893838535222,0.6076332582246269,436649,8244515,5601201,4483
0.1,0.07486666158596102,0.07494329587729888,0.9865255751112821,0.13930408962574686,0.6235941615673376,435188,8474007,5371709,5944
0.11,0.07722534505852463,0.07732715814755822,0.9832363102200479,0.14337825355599113,0.6372346090614245,433737,8670337,5175379,7395
0.12,0.07943726607194922,0.07956693428637521,0.9798971736350802,0.14718273644791324,0.6493759155273433,432264,8845271,5000445,8868
0.13,0.08153963234648542,0.08169726162934962,0.9768844699545493,0.1507843617331086,0.6602440930287768,430935,9001872,4843844,10197
0.14,0.08351539928034045,0.08370207797035038,0.9739896448228427,0.15415636648304176,0.6699763306783969,429658,9142192,4703524,11474
0.15,0.0854026804161525,0.0856199975057478,0.9711378906993604,0.15736589037213497,0.6788769643241108,428400,9270612,4575104,12732
0.16,0.08723322273490848,0.08748196942604396,0.9684334847619087,0.16046827871822564,0.6871185302734371,427207,9389551,4456165,13925
0.17,0.0889822328853321,0.08926588626449403,0.9655205244688445,0.16342274346563623,0.6947770424939073,425922,9500252,4345464,15210
0.18,0.09069541988481895,0.09101412977259359,0.9628251861120716,0.16630750871545324,0.7019400640365177,424733,9603778,4241938,16399
0.19,0.09241207552866577,0.09276682317489773,0.9602635945703109,0.16918903904712176,0.7088058891646354,423603,9702999,4142717,17529
0.2,0.09408564196735192,0.09447790585395001,0.9577360064560957,0.17198953621948893,0.7152644166158969,422488,9796386,4049330,18644
