idx,IoU
0,0.0
1,0.49684210525269806
2,0.16362045498728192
3,0.009312913907265494
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.6439829685510988
11,0.0
12,0.0
13,0.07747061744731423
14,0.0
15,0.0
16,0.11015713591428777
17,0.0
18,0.07985611510762641
19,0.36172516466644333
20,0.05167743279839201
21,0.0
22,0.0
23,0.04132973944257566
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.08799999999824
32,0.0
33,0.0
34,0.0
35,0.11493288590507608
36,0.0
37,0.0
38,0.5585333771776414
39,0.0
40,0.0
41,0.0
42,0.020202020201850152
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.009000321440036966
64,0.04990132506339871
65,0.004286185295082661
66,0.0
67,0.0
68,0.5406608076534983
69,0.09184744576618976
70,0.0
71,0.006130193636269212
72,0.69287141905281
73,0.0
74,0.030188679244143823
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0007341373885676621
80,0.0
81,0.6131951731370585
82,0.31727718488583984
83,0.0
84,0.2865853658361838
85,0.0
86,0.05541212468920663
87,0.11181434598920223
88,0.7524827288424263
89,0.0
90,0.0
91,0.0
92,0.04445639508824553
93,0.0
94,0.0
95,0.04552590266858114
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.44950495049059896
102,0.2698191933203085
103,0.0
104,0.12691891148508244
105,0.0
106,0.0
107,0.3414634146281975
108,0.0
109,0.0
110,0.0
111,0.41723622383552195
112,0.0
113,0.009012617664712572
114,0.13265306121997777
115,0.0
116,0.21189591078041503
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0055821371610400156
124,0.044334975369094136
125,0.6498491911155403
126,0.0
127,0.7818889970763327
128,0.0
129,0.0
130,0.0
131,0.03325971157589547
132,0.0
133,0.0
134,0.0
135,0.013776722090195835
136,0.21244705115603635
137,0.0
138,0.07943925233273648
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.046005509641746545
145,0.0
146,0.0
147,0.0
148,0.4482758620380499
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.20689655171521998
157,0.0
158,0.0
159,0.32483292296859984
160,0.03288062902068992
161,0.0
162,0.0
163,0.0
164,0.0
165,0.6358695652058719
166,0.0
167,0.0
168,0.11929824560984918
169,0.0
170,0.0
171,0.044444444443033505
172,0.0
173,0.0034009474067734713
174,0.0
175,0.5649805816043549
176,0.0
177,0.0
178,0.0
179,0.9999999999998475
180,0.0
181,0.039112050739751
182,0.0
183,0.0
184,0.0
185,0.0
186,0.033513513513332364
187,0.0
188,0.028301886792341583
189,0.0
190,0.0
191,0.10526705681894565
192,0.0
193,0.0
194,0.0
195,0.23401889938828901
196,0.004471168670976764
197,0.0
198,0.35294117646389106
199,0.004703013412289317
200,0.0
201,0.0
202,0.0
203,0.5649063475543856
204,0.0
205,0.022556390977330545
206,0.0
207,0.0
208,0.0
209,0.0
210,0.41144333153691276
211,0.3982521847673814
212,0.0
213,0.0
214,0.0
215,0.003465918468388404
216,0.006792452830137416
217,0.0
