threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.23,0.1676061077782654,0.17103865301633772,0.8930660210549021,0.2870935756273102,0.8630522981696167,393960,11936337,1909379,47172
0.24,0.1700696603667803,0.17367318352466837,0.8912638393949908,0.29070005749311634,0.8657070474887107,393165,11975060,1870656,47967
0.25,0.1725066461154014,0.1762841463770745,0.8895069956384735,0.29425273633774157,0.868253165428791,392390,12012211,1833505,48742
0.26,0.17494939856774752,0.17890500018729266,0.8878000235756897,0.29779903226626947,0.8707247392846899,391637,12048275,1797441,49495
0.27,0.177417649223976,0.18155568869506172,0.8861587914728271,0.3013673995446753,0.8731395476454983,390913,12083499,1762217,50219
0.28,0.1799031491513207,0.1842373581742397,0.8843566098129158,0.30494561794698216,0.8755239084226271,390118,12118359,1727357,51014
0.29,0.1825111615723136,0.1870530384377926,0.8825816308950408,0.3086840374907658,0.877938296816764,389335,12153636,1692080,51797
0.3,0.18522650076870734,0.18998937943012628,0.8807907837109781,0.3125588213202219,0.880370393805547,388545,12189173,1656543,52587
0.31,0.18782310826212528,0.19280719628431214,0.8790203385834426,0.316247604888847,0.8826366039591093,387764,12222331,1623385,53368
0.32,0.19039102395995247,0.1956049210972472,0.877190954181495,0.3198798014317669,0.8848258202229066,386957,12254415,1591301,54175
0.33,0.19292016741652307,0.19836671627063013,0.875409174578111,0.323441871282422,0.8869209639523001,386171,12285134,1560582,54961
0.34,0.19546130454275176,0.20114653976511696,0.8736659321926119,0.3270056537696976,0.8889640318144346,385402,12315092,1530624,55730
0.35000000000000003,0.19797546094369955,0.20390443227173366,0.871936291178131,0.3305167185103299,0.8909330455535043,384639,12343986,1501730,56493
0.36,0.20048088548104895,0.20665984764878356,0.8702179846394986,0.3340009591889941,0.8928441038919146,383881,12372047,1473669,57251
0.37,0.20281935769766818,0.20925007865620132,0.8684135360844176,0.3372399263740783,0.8946083838786548,383085,12398049,1447667,58047
0.38,0.20517687337669197,0.21186064539580343,0.8667314998685004,0.34049254679034163,0.8963286373593385,382343,12423368,1422348,58789
0.39,0.20744905542619468,0.2143898562295371,0.865006392644359,0.34361541395395967,0.8979607678334641,381582,12447447,1398269,59550
