thr,IoU,Precision,Recall,F1
0.5,0.15154759865227138,0.34682288671648104,0.21207689510633965,0.26320682899794834
0.75,0.00271893191091794,0.7703619909415117,0.002721137363493496,0.005423118661111313
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
