Metric,Baseline,Multimodal
IoU (best thr),0.15154759865227138,0.4026
F1 (best thr),0.26320682899794834,0.5741
Precision (best thr),0.34682288671648104,0.5761
Recall (best thr),0.21207689510633965,0.5722
IoU (thr=0.50),0.15154759865227138,0.2341
F1 (thr=0.50),0.26320682899794834,0.3793
