burn_bin,n,mean_delta_iou,median_delta_iou,win_rate_delta_gt0,mean_iou_old,mean_iou_new
0.00-0.01,177,0.022388798872804323,0.0,0.22598870056497175,0.0002496601847444503,0.022638459057548774
0.01-0.05,21,0.09032444103599262,0.0798561151076264,0.5238095238095238,0.058189343392337035,0.14851378442832966
0.05-0.10,5,0.3235742385512529,0.3433893151016501,0.8,0.07360940243910967,0.3971836409903626
0.10-0.20,4,0.49342923996101656,0.6044817750777269,1.0,0.12457273864099658,0.6180019786020132
0.20-0.40,7,0.3423164770942795,0.3617251646664433,1.0,0.06486223146717114,0.4071787085614507
0.40-1.01,4,-0.15890590037778002,0.0,0.25,0.5218438589911625,0.3629379586133824
