landcover_dom,n,mean_delta,median_delta,win_rate
11,23,0.12979843924048146,0.031036311830586194,0.5652173913043478
2,161,0.05323767658385075,0.0,0.32919254658385094
1,1,0.0,0.0,0.0
7,10,0.0,0.0,0.0
5,23,-0.01499215128433324,0.0,0.043478260869565216
